Customer ID,Recency,Tenure,Frequency,TotalSpent,TotalQuantity,AvgUnitPrice,Country,AvgOrderValue,AvgQuantity,CLV_3M,CLV_6M
12346,164,564,12,77556.46,74285,6.1000000000000005,United Kingdom,6463.038333333334,6190.416666666667,0.0,0.0
12347,22,243,5,3529.27,2141,2.5527167630057805,Iceland,705.854,428.2,584.9100000000001,2104.05
12348,87,277,4,1709.4,2497,3.1374999999999997,Finland,427.35,624.25,310.0,310.0
12349,246,428,3,2671.14,993,8.581764705882353,Italy,890.38,331.0,0.0,1757.55
12350,149,149,1,334.4,197,3.841176470588235,Norway,334.4,197.0,0.0,0.0
12351,214,214,1,300.93,261,2.355238095238095,Unspecified,300.93,261.0,0.0,0.0
12352,101,231,7,1905.61,442,19.601428571428574,Norway,272.22999999999996,63.142857142857146,632.5,944.23
12353,43,247,2,406.76,212,2.6283333333333334,Bahrain,203.38,106.0,0.0,0.0
12354,71,71,1,1079.4,530,4.5037931034482765,Spain,1079.4,530.0,0.0,0.0
12355,53,406,2,947.61,543,3.069428571428572,Bahrain,473.805,271.5,0.0,0.0
12356,84,263,5,6315.33,3412,3.025177304964539,Portugal,1263.066,682.4,0.0,58.349999999999994
12357,227,227,2,12079.99,3879,8.458424242424242,Switzerland,6039.995,1939.5,0.0,6207.67
12358,214,570,3,2719.01,831,4.41603448275862,Austria,906.3366666666667,277.0,484.86,1168.06
12359,28,573,9,6059.09,2095,7.256461538461538,Cyprus,673.2322222222223,232.77777777777777,0.0,2876.85
12360,39,494,6,2674.41,1728,3.0289473684210524,Austria,445.73499999999996,288.0,534.7,1578.48
12361,126,521,4,511.25,235,3.8706896551724137,Belgium,127.8125,58.75,0.0,0.0
12362,64,577,3,1104.34,505,5.023333333333333,Belgium,368.1133333333333,168.33333333333334,1603.0,4251.89
12363,81,81,1,299.1,282,2.28125,Unspecified,299.1,282.0,252.9,252.9
12365,130,130,2,641.38,174,17.150454545454547,Cyprus,320.69,87.0,0.0,0.0
12366,472,472,1,500.24,296,1.6900000000000002,Cyprus,500.24,296.0,0.0,0.0
12368,467,467,1,917.6999999999999,330,4.391666666666667,Cyprus,917.6999999999999,330.0,0.0,0.0
12369,252,480,3,1791.15,1241,3.148924731182796,Austria,597.0500000000001,413.6666666666667,0.0,0.0
12370,113,507,6,3581.03,2225,3.499597701149425,Austria,596.8383333333334,370.8333333333333,0.0,739.28
